# removed from sbzr.extended.common.dict.yaml by optimize_dedup_scan.py --apply
# word	code	weight	original_lineno
好值啊	hkziva	551	4002
根源是	gfyrsi	551	4004
的闲话	dexmhw	551	4006
这比分	zebiff	551	4007
金鱼水	jnyusv	551	4008
刘宝瑞	lqbkrv	550	4037
名誉案	myyuvj	550	4040
商云集	shypji	550	4041
大商品	dashpn	550	4042
大大大	dadada	550	4043
打双升	dasdsg	550	4046
是丰润	sifgrp	550	4049
显示啥	xmsisa	550	4050
有书画	ybsuhw	550	4051
没有个	mzybge	550	4052
泄密案	xxmivj	550	4053
画鸡蛋	hwjidj	550	4055
要快啊	ykkyva	550	4056
不惦记	budmji	549	4088
他编造	tabmzk	549	4089
在一夜	zlyiye	549	4090
我没过	womzgo	549	4091
架架子	jwjwzi	549	4094
波前集	boqmji	549	4095
王教练	whjclm	549	4096
谭富英	tjfuyy	549	4097
下轨时	xwgvsi	548	4123
你讲明	nijdmy	548	4125
傅兰雅	fuljya	548	4126
埃利安	vllivj	548	4128
孙亚芳	spyafh	548	4129
张建东	zhjmds	548	4130
张益唐	zhyith	548	4131
高钙奶	gkglnl	548	4137
你架子	nijwzi	547	4163
卢比奥	lubivk	547	4164
唉唉唉	vlvlvl	547	4165
鲁比奥	lubivk	547	4169
他家发	tajwfa	546	4203
他没拿	tamzna	546	4204
划算吗	hwsrma	546	4205
忘记啊	whjiva	546	4210
惰性吧	doxyba	546	4211
我退款	wotvkr	546	4212
时务报	siwubk	546	4213
胃病史	wzbysi	546	4218
西安台	xivjtl	546	4219
